"Event_rate","Scenario","Visit","CI_type","Coverage","rank","mean","q1","q3","old_rank","coverage_old","mean_old","q1_old","q3_old"
1,3,1,"Sandwich",0.829896907216495,2,1.3566917833219,0.691854578427511,1.7377654548421,"Sandwich",0.823899371069182,1.14906591816716,0.692269619835927,1.55298775546981
1,3,1,"Jackknife Wald",0.694,3,0.898680320272938,0.25426707721272,1.18390188242128,"Jackknife MVN",0.64859437751004,7.14622847304783,3.61793554958987,9.32965352947447
1,3,1,"Jackknife MVN",0.68796992481203,4,7.38813954468468,4.40504339545167,9.45750992842041,"Jackknife Wald",0.637,0.792757487781481,0.240648213061212,0.854798359085855
1,3,1,"Bootstrap",0.623,5,0.824300879085164,0.333700604660748,1.1537316963599,"Bootstrap",0.594,0.735889330295779,0.294893929829288,0.9262647814303
1,3,2,"LEF both",0.903,1,0.568148612999536,0.343151780685109,0.699923847783515,"LEF both",0.894,0.586904369944254,0.355472007301706,0.710179209212116
1,3,2,"LEF outcome",0.903,1,0.568720866449576,0.342908744725307,0.698711119232232,"LEF outcome",0.893,0.591133180822669,0.356802494876156,0.714721509906849
1,3,2,"Sandwich",0.762886597938144,2,0.646836621342017,0.322522159656429,0.796612952356721,"Sandwich",0.729559748427673,0.670368989977068,0.364624972578143,0.870520776363475
1,3,2,"Jackknife Wald",0.735,3,0.911911048659915,0.158812704851353,0.969263570463573,"Jackknife MVN",0.72289156626506,4.01969943324817,3.3230908674949,4.86754858383436
1,3,2,"Jackknife MVN",0.733082706766917,4,3.60101130796826,2.84184101970094,4.34072116621683,"Jackknife Wald",0.684,0.929869459820005,0.169508110870834,1.03760265550505
1,3,2,"Bootstrap",0.591,5,0.882439913756812,0.28056717822573,1.26422078906508,"Bootstrap",0.554,0.925786968563149,0.273168121257967,1.35634403890015
1,3,3,"LEF both",0.84,1,0.349563412814953,0.21488662846498,0.430536520318291,"LEF both",0.835,0.368955108051436,0.218264192173513,0.454491164376762
1,3,3,"LEF outcome",0.84,1,0.34955538598345,0.214289410395162,0.431750306311304,"LEF outcome",0.835,0.371602106777984,0.218708015177884,0.455800788804841
1,3,3,"Jackknife MVN",0.763157894736842,2,2.04216554727197,1.67247041127082,2.46369250825017,"Jackknife MVN",0.748995983935743,2.34162854071467,2.02277736506551,2.87039742804902
1,3,3,"Jackknife Wald",0.754,3,1.10690181990565,0.121045982278843,1.37611634311176,"Jackknife Wald",0.721,1.11542483608874,0.124288157147142,1.33265427261146
1,3,3,"Sandwich",0.721649484536082,4,0.403636995571224,0.192858371044898,0.530069522941507,"Sandwich",0.716981132075472,0.434797259454496,0.21156143598808,0.581416112388432
1,3,3,"Bootstrap",0.538,5,0.845180905696595,0.370269399848851,1.24478188626686,"Bootstrap",0.52,0.919439450936338,0.403594052521447,1.35872349147391
1,3,4,"LEF both",0.824,1,0.336015853962293,0.202731225989238,0.432259231658229,"LEF outcome",0.799,0.316580474320672,0.182918294800654,0.397882897614298
1,3,4,"LEF outcome",0.822,2,0.335853998650514,0.201879005261591,0.43070203773794,"LEF both",0.798,0.314553884716129,0.180866467829035,0.395840693213338
1,3,4,"Jackknife MVN",0.763157894736842,3,1.75563554868819,1.45730744694537,2.10281518273726,"Jackknife MVN",0.763052208835341,1.79369684792727,1.53135857531692,2.1728879548574
1,3,4,"Jackknife Wald",0.757,4,1.27560708523889,0.127529875076725,2.11420239644913,"Jackknife Wald",0.739,1.19263139786533,0.122719204614787,1.79748074158277
1,3,4,"Sandwich",0.742268041237113,5,0.393459698095147,0.18147158739869,0.534943825957155,"Sandwich",0.723270440251572,0.384960935798799,0.190498331769766,0.517323705458116
1,3,4,"Bootstrap",0.527,6,0.875086553706065,0.434121923232017,1.27424743181556,"Bootstrap",0.498,0.855390253525711,0.418509133422762,1.2308702156954
1,4,0,"LEF both",0.993,1,2.05649352950304,1.56708824232214,2.29898849449546,"LEF both",0.997,2.00890213844741,1.51057896338844,2.22835076871067
1,4,0,"LEF outcome",0.993,1,2.05649352951218,1.56708824232214,2.29898849449546,"LEF outcome",0.997,2.00890213844508,1.51057896338844,2.22835076871066
1,4,0,"Bootstrap",0.977,2,1.0471909849945,0.881258641052542,1.21678301697523,"Bootstrap",0.978,1.03220295500215,0.851678642964904,1.19726314005509
1,4,0,"Jackknife Wald",0.965,3,1.02145833272014,0.850207985111916,1.18767467380318,"Jackknife Wald",0.961,1.01909955696465,0.840061162828239,1.18409859973949
1,4,0,"Jackknife MVN",0.921606118546845,4,15.7492255211982,1.95317994889001,43.2857458102325,"Jackknife MVN",0.928436911487759,14.5405342114353,1.91887140723669,41.9619898276287
1,4,0,"Sandwich",0.889007470651014,5,1.48237787026758,1.24673476108024,1.66262309589805,"Sandwich",0.903088391906283,1.48498836251797,1.22462685172371,1.66037663274994
1,4,1,"LEF both",0.995,1,1.85840678393255,1.20666908737402,2.2937320257992,"LEF both",0.992,1.90265444977746,1.20904070904792,2.34665375212428
1,4,1,"LEF outcome",0.995,1,1.86607937017644,1.20572695930185,2.29046686628247,"LEF outcome",0.992,1.94194592699174,1.22452587141888,2.40751175399693
1,4,1,"Jackknife Wald",0.968,2,0.980258623082111,0.657067583073876,1.09359460022223,"Bootstrap",0.967,1.00361066095992,0.716272212240711,1.14468614504498
1,4,1,"Bootstrap",0.966,3,0.977680227095555,0.694379016494913,1.11945745513418,"Jackknife Wald",0.964,0.996719083394009,0.698758381042829,1.15213651307278
1,4,1,"Jackknife MVN",0.948374760994264,4,11.9096816610672,2.53611755309452,18.9043358130216,"Jackknife MVN",0.962335216572505,12.6163250358383,2.62409825312711,19.9078162410894
1,4,1,"Sandwich",0.886872998932764,5,1.35442831802593,0.910336239435989,1.63228109441279,"Sandwich",0.904153354632588,1.39321126823549,0.946931314182499,1.64109364448575
1,4,2,"LEF both",0.966,1,1.17247693228747,0.797964255759582,1.38089527362621,"Jackknife MVN",0.975517890772128,6.03804260810411,2.70729844398344,7.89963256583187
1,4,2,"LEF outcome",0.965,2,1.17832979472962,0.796643272356146,1.38189314499635,"Jackknife Wald",0.971,0.823693447137247,0.407772019962706,0.784553857683576
1,4,2,"Jackknife Wald",0.96,3,0.916311523945437,0.444690193887958,0.857057704913383,"LEF both",0.97,1.05814511549327,0.70832602497981,1.25343588872221
1,4,2,"Jackknife MVN",0.952198852772467,4,6.43814527615627,2.70754573931923,8.56748139675197,"LEF outcome",0.97,1.08511499457119,0.716606981522497,1.30006184254557
1,4,2,"Bootstrap",0.945,5,0.92021959100637,0.4900744669745,1.04324166108748,"Bootstrap",0.945,0.836548680948333,0.448484294274646,0.963854005358742
1,4,2,"Sandwich",0.834578441835646,6,0.884056892566999,0.587543989523647,0.973242215231171,"Sandwich",0.846645367412141,0.801985106120337,0.529209878307815,0.909855006625396
1,4,3,"Jackknife MVN",0.963671128107075,1,2.838341048817,1.84295874929109,3.63833202928586,"Jackknife MVN",0.971751412429379,3.00378434632706,1.84879558694086,3.80780361550863
1,4,3,"Jackknife Wald",0.953,2,0.897764001947513,0.249405111818243,0.744660943307705,"Jackknife Wald",0.952,0.824645267502336,0.241968408590731,0.648716822615923
1,4,3,"LEF outcome",0.907,3,0.578157936955746,0.398188576269711,0.692411875328957,"LEF both",0.921,0.574444065630846,0.38809583982698,0.689326586611371
