"Event_rate","Scenario","Visit","CI_type","Coverage","rank","mean","q1","q3","old_rank","coverage_old","mean_old","q1_old","q3_old"
1,2,2,"LEF outcome",0.962,1,1.4323937643443,0.935350961143043,1.86830236420056,"LEF both",0.944,1.4066467085544,0.911572674019394,1.85038301909965
1,2,2,"LEF both",0.961,2,1.4288533358627,0.933565740490947,1.86404749056369,"LEF outcome",0.944,1.43234539277961,0.920909643233172,1.89344469429563
1,2,2,"Jackknife MVN",0.931104356636272,3,8.30168128966185,6.07117524987531,10.4509126644368,"Jackknife MVN",0.931104356636272,8.30168128966185,6.07117524987531,10.4509126644368
1,2,2,"Jackknife Wald",0.883,4,1.13527255530317,0.485483825513001,1.26880055327394,"Jackknife Wald",0.887,1.145859435147,0.496477588455575,1.29940366410205
1,2,2,"Sandwich",0.848703170028818,5,1.13847088684354,0.692742873012699,1.5176021759892,"Sandwich",0.848703170028818,1.13847088684354,0.692742873012699,1.5176021759892
1,2,2,"Bootstrap",0.839,6,0.863140192702133,0.488182935830915,1.12809114587305,"Bootstrap",0.836,0.861872349788446,0.490567684623933,1.13362158388289
1,2,3,"Jackknife MVN",0.931104356636272,1,5.08228875324069,3.92151884517599,6.21308462625034,"Jackknife MVN",0.931104356636272,5.08228875324069,3.92151884517599,6.21308462625034
1,2,3,"LEF outcome",0.924,2,0.960411191650951,0.594063382895501,1.21841260980398,"LEF outcome",0.91,0.956126808987483,0.58262592905925,1.23315830109942
1,2,3,"LEF both",0.923,3,0.957885825481529,0.5953696747049,1.21648658187132,"LEF both",0.909,0.938446717357641,0.575793754228586,1.20220672959057
1,2,3,"Jackknife Wald",0.873,4,1.05361922197065,0.342457769138243,1.24328142739353,"Jackknife Wald",0.873,1.06048601418514,0.3463836937476,1.23934860135006
1,2,3,"Bootstrap",0.804,5,0.757332797678662,0.339655856378012,1.05106811154573,"Bootstrap",0.811,0.754093960327852,0.338491005905123,1.04084590910162
1,2,3,"Sandwich",0.79971181556196,6,0.763531832976336,0.422903280610672,0.992272236690942,"Sandwich",0.79971181556196,0.763531832976336,0.422903280610672,0.992272236690942
1,2,4,"Jackknife MVN",0.941236068895643,1,3.46759251177067,2.61064040379355,4.19842459121831,"Jackknife MVN",0.941236068895643,3.46759251177067,2.61064040379355,4.19842459121831
1,2,4,"LEF outcome",0.88,2,0.674251513271299,0.417519644434493,0.842964243705044,"LEF outcome",0.866,0.667920252788768,0.402070148854058,0.849739254559624
1,2,4,"LEF both",0.878,3,0.672548501561762,0.416528714572015,0.842904775907263,"LEF both",0.864,0.65584030770831,0.399067121539265,0.835269235586845
1,2,4,"Jackknife Wald",0.852,4,0.983711634408057,0.246717446271066,1.08586477397709,"Jackknife Wald",0.859,0.988665450837136,0.249007812440962,1.08808009792572
1,2,4,"Bootstrap",0.788,5,0.695681964620572,0.288117020724464,0.924284174066159,"Bootstrap",0.789,0.692629840909701,0.285690629503959,0.917809538841714
1,2,4,"Sandwich",0.757925072046109,6,0.530776876644466,0.285170889615212,0.675610254119292,"Sandwich",0.757925072046109,0.530776876644466,0.285170889615212,0.675610254119292
1,3,0,"LEF both",0.894,1,1.80462808477154,0.842657816813001,2.46977111085689,"Sandwich",0.883333333333333,1.76393296682489,1.46441527995954,2.03154736849574
1,3,0,"LEF outcome",0.894,1,1.80462808333199,0.842657816779413,2.46977111085689,"LEF both",0.878,1.76339042393135,0.818242333878319,2.43771348057281
1,3,0,"Sandwich",0.883333333333333,2,1.76393296682489,1.46441527995954,2.03154736849574,"LEF outcome",0.878,1.76339042279809,0.818242334171088,2.43771348057281
1,3,0,"Bootstrap",0.689,3,0.877834464744221,0.426106245071301,1.23679441558203,"Bootstrap",0.767,0.887460545541896,0.443933004601057,1.24372828805335
1,3,0,"Jackknife Wald",0.633,4,0.900186240947194,0.379918606432268,1.22607187792379,"Jackknife Wald",0.649,0.913818039218526,0.397543535711224,1.24642951496588
1,3,0,"Jackknife MVN",0.617710583153348,5,13.7605692212129,3.21667936881713,23.5013888473723,"Jackknife MVN",0.617710583153348,13.7605692212129,3.21667936881713,23.5013888473723
1,3,1,"LEF outcome",0.934,1,1.05554371486582,0.549716332248106,1.36958626724669,"LEF both",0.918,1.0301411371274,0.523939807783144,1.35924335685837
1,3,1,"LEF both",0.933,2,1.05339578603397,0.549808443063629,1.36969706580145,"LEF outcome",0.918,1.04049852534057,0.52346502051479,1.35699027531737
