"Visit","Scenario","CI_type","Coverage","rank","old_rank","coverage_old"
1,8,"Jackknife_Wald",0.868,5,"Jackknife_Wald",0.867
1,8,"Bootstrap",0.852,6,"Bootstrap",0.838
2,8,"Jackknife_MVN",0.927521008403361,1,"Jackknife_MVN",0.928042328042328
2,8,"LEF_outcome",0.922,2,"LEF_outcome",0.916
2,8,"LEF_both",0.92,3,"LEF_both",0.915
2,8,"Jackknife_Wald",0.846,4,"Jackknife_Wald",0.847
2,8,"Sandwich",0.838666666666667,5,"Sandwich",0.816300129366106
2,8,"Bootstrap",0.801,6,"Bootstrap",0.783
3,8,"Jackknife_MVN",0.930672268907563,1,"Jackknife_MVN",0.935449735449735
3,8,"LEF_outcome",0.865,2,"LEF_outcome",0.843
3,8,"LEF_both",0.864,3,"Jackknife_Wald",0.84
3,8,"Jackknife_Wald",0.842,4,"LEF_both",0.839
3,8,"Sandwich",0.748,5,"Bootstrap",0.745
3,8,"Bootstrap",0.742,6,"Sandwich",0.738680465717982
4,8,"Jackknife_MVN",0.93172268907563,1,"Jackknife_MVN",0.932275132275132
4,8,"Jackknife_Wald",0.818,2,"Jackknife_Wald",0.824
4,8,"LEF_both",0.785,3,"LEF_outcome",0.779
4,8,"LEF_outcome",0.782,4,"LEF_both",0.776
4,8,"Bootstrap",0.733,5,"Bootstrap",0.729
4,8,"Sandwich",0.668,6,"Sandwich",0.676584734799483
0,9,"LEF_outcome",0.965,1,"LEF_outcome",0.948
0,9,"LEF_both",0.965,1,"LEF_both",0.948
0,9,"Sandwich",0.917748917748918,2,"Sandwich",0.880184331797235
0,9,"Jackknife_Wald",0.634,3,"Jackknife_Wald",0.633
0,9,"Bootstrap",0.614,4,"Bootstrap",0.62
0,9,"Jackknife_MVN",0.611344537815126,5,"Jackknife_MVN",0.619047619047619
1,9,"LEF_outcome",0.947,1,"LEF_outcome",0.923
1,9,"LEF_both",0.945,2,"LEF_both",0.921
1,9,"Sandwich",0.865800865800866,3,"Sandwich",0.824884792626728
1,9,"Jackknife_Wald",0.654,4,"Jackknife_MVN",0.653679653679654
1,9,"Jackknife_MVN",0.647058823529412,5,"Jackknife_Wald",0.651
1,9,"Bootstrap",0.558,6,"Bootstrap",0.55
2,9,"LEF_outcome",0.899,1,"LEF_outcome",0.877
2,9,"LEF_both",0.899,1,"LEF_both",0.877
2,9,"Sandwich",0.774891774891775,2,"Sandwich",0.783410138248848
2,9,"Jackknife_MVN",0.684873949579832,3,"Jackknife_MVN",0.714285714285714
2,9,"Jackknife_Wald",0.669,4,"Jackknife_Wald",0.675
